City,Hotel,Price,Star Rating,Review
Penzance,Beachfield Hotel,98.17,3,85.0
Penzance,Queens,90.35,3,74.0
Penzance,Penrose Guest House,59.85,4,89.0
Penzance,Whiteways Guest House,56.33,2,63.0
Penzance,The Old Vicarage,65.49,4,92.0
Pitlochry,Fisher's Hotel,84.04,3,81.0
Pitlochry,Atholl Palace,168.17,4,81.0
Pitlochry,Crerar Scotland's Hotel & Spa,80.63,3,74.0
Pitlochry,Craigvrack,70.34,3,84.0
Pitlochry,Fonab Castle,267.68,5,94.0
Pitlochry,Pine Trees,114.54,4,88.0
Pitlochry,Acarsaid,94.66,3,90.0
Pitlochry,Rosemount Hotel,103.59,3,81.0
Pitlochry,Cuil-An-Daraich Guest House,59.04,3,82.0
Pitlochry,The Moulin Hotel,73.64,3,78.0
Lochalsh,Benmiller Inn & Spa,88.33,3,60.0
Lochalsh,Howard Johnson Kincardine,54.98,3,60.0
Lochalsh,Maple Leaf Inn,58.94,2,40.0
Lochalsh,Colborne Bed and Breakfast,54.15,3,60.0
Lochalsh,Lakeview Motel,37.44,2,40.0
Lochalsh,Super 8 Port Elgin,95.76,2,40.0
Lochalsh,Port Albert Cottages,44.96,3,60.0
Lochalsh,Samuel's Boutique Hotel,62.51,2,40.0
Lochalsh,Super 8 Motel - Port Elgin,84.88,2,40.0
Lochalsh,Three Gables B&B,64.62,3,60.0
Lochalsh,Holiday Inn Express & Suites Kincardine Downtown,98.31,2,40.0
Manchester,Macdonald Manchester,115.03,4,82.0
Manchester,Britannia Hotel Manchester City Centre,76.9,3,66.0
Manchester,Novotel Manchester Centre,123.51,3,82.0
Manchester,The Midland,169.42,4,87.0
Manchester,Abode,120.37,4,83.0
Manchester,Velvet,128.37,4,89.0
Liverpool,Hilton Liverpool,286.2,4,84.0
Liverpool,Radisson Blu Liverpool,171.26,4,82.0
Liverpool,Adagio Liverpool City Centre,135.57,4,86.0
Liverpool,Britannia Adelphi,115.62,3,67.0
Liverpool,Novotel Liverpool Centre,210.28,4,85.0
Liverpool,Heywood House,164.18,4,88.0
Liverpool,Malmaison Liverpool,149.58,4,83.0
Liverpool,Premier Apartments Liverpool,135.72,4,89.0
Liverpool,Marriott Liverpool City Centre,235.48,4,85.0
Liverpool,Hampton by Hilton Liverpool City Centre,137.68,3,86.0
Chester,Best Western Premier Queen,126.09,4,87.0
Chester,ABode Chester,123.47,4,86.0
Chester,Crowne Plaza Chester,126.11,4,88.0
Chester,Macdonald New Blossoms,132.56,4,82.0
Chester,Doubletree Chester,138.87,4,86.0
Chester,The Chester Grosvenor & Grosvenor Spa,165.85,5,90.0
Chester,The Grosvenor Pulford,82.06,4,87.0
Chester,Brookside Hotel,84.67,3,83.0
Chester,Best Western Llyndir Hall Hotel & Spa,68.35,4,80.0
Chester,Brook Mollington Banastre Hotel & Spa,94.9,4,69.0
Windermere,Beaumont House,95.23,5,92.0
Windermere,The Lamplighter,90.51,4,84.0
Windermere,Southview Guest House & Indoor Pool,100.42,4,95.0
Windermere,Thornbank Guest House,80.0,4,91.0
Windermere,Bonny Brae Guest House,75.24,3,93.0
Windermere,Macdonald Old England,197.51,4,85.0
Windermere,Dene House,90.29,4,95.0
Windermere,The Burn How Garden House,160.24,3,87.0
Windermere,The Westbourne,135.29,4,94.0
Windermere,Craig Manor,96.22,3,82.0
Penrith,North Lakes and Spa,114.55,4,80.0
Penrith,Abbey House B&B,63.56,4,80.0
Penrith,George Hotel,90.2,3,60.0
Penrith,The White House Experience,100.56,4,80.0
Penrith,Roundthorn Country House,104.59,5,100.0
Penrith,Brandelhow Guest House,78.12,4,80.0
Penrith,Queens Head Inn,60.66,3,60.0
Penrith,Rampsbeck Country House Hotel,221.03,3,60.0
Penrith,Bank House Bed & Breakfast Penrith,86.98,4,80.0
Penrith,The Brantwood Hotel,65.34,4,80.0
Southport,Vincent,98.17,4,80.0
Southport,Britannia Scarisbrick,54.11,3,60.0
Southport,Clifton Villa,70.88,4,80.0
Southport,Best Western Royal Clifton,94.61,3,60.0
Southport,Britannia Prince of Wales,69.79,3,60.0
Southport,The Penkelie,65.32,2,40.0
Southport,Cambridge House Hotel,75.42,3,60.0
Southport,The Stamford,70.43,4,80.0
Southport,Pontin's Southport Holiday Park,120.88,2,40.0
Southport,Crescent House Hotel - Guest House,62.02,3,60.0
Morecambe,Morecambe Bay Guest House,52.1,3,89.0
Morecambe,Westleigh,50.9,3,73.0
Morecambe,The Midland Hotel,118.96,4,87.0
Morecambe,Lancaster House,93.99,4,87.0
Morecambe,Thurnham Hall,65.08,4,90.0
Morecambe,St Winifreds,65.07,2,62.0
Morecambe,Royal Kings Arms Hotel,61.07,3,74.0
Morecambe,The Royal Hotel (Latinos),67.49,3,80.0
Morecambe,Penny Street Bridge,98.23,3,84.0
Morecambe,The Clarendon,65.74,3,97.0
Grasmere,Best Western Grasmere Red Lion,80.47,3,82.0
Grasmere,Langdale Classic & Country Club,185.38,4,89.0
Grasmere,Bridge House,80.4,3,85.0
Grasmere,Moss Grove Organic,119.85,5,86.0
Grasmere,Best Western Ambleside Salutation,209.69,3,91.0
Grasmere,Claremont House,69.51,4,94.0
Grasmere,Regent Hotel,114.86,3,91.0
Grasmere,Nanny Brow House,130.0,5,92.0
Grasmere,Brathay Lodge,117.22,4,87.0
Grasmere,The Fisherbeck,110.6,4,91.0
Cardiff,Novotel Cardiff Centre,121.88,4,83.0
Cardiff,Mercure Holland House,119.27,4,85.0
Cardiff,Park Plaza Cardiff,118.89,4,88.0
Cardiff,Radisson Blu Cardiff,104.16,4,87.0
Cardiff,Marriott Cardiff,117.91,4,86.0
Cardiff,The Angel Cardiff,76.35,3,74.0
Cardiff,Hilton Cardiff,148.1,4,86.0
Cardiff,The St David's Hotel & Spa,143.66,5,84.0
Cardiff,Holiday Inn Cardiff City,116.65,3,81.0
